Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,FlightDate,Distance,LateAircraftDelay,WeatherDelay,day,month,hour,OriginCity,temperature_c,precip_mm,cloud_pct,wind_speed_mps
DEN,IAH,940,1311,63.0,2025-01-26,862.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
IAH,ATL,1805,2111,7.0,2025-01-26,689.0,0.0,0.0,26,1,18,Houston,18.9,4.8,100.0,4.4
ORD,LAX,1255,1529,338.0,2025-01-26,1744.0,338.0,0.0,26,1,12,Chicago,-6.7,0.0,100.0,9.6
DEN,GRR,957,1434,9.0,2025-01-26,1015.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
EWR,BOS,1710,1826,49.0,2025-01-26,200.0,0.0,0.0,26,1,17,New York,2.8,0.0,86.0,10.3
ORD,SNA,905,1146,136.0,2025-01-26,1726.0,0.0,0.0,26,1,9,Chicago,-8.2,0.0,100.0,11.1
IAH,IAD,1215,1615,6.0,2025-01-26,1190.0,0.0,0.0,26,1,12,Houston,16.8,2.4,100.0,11.6
DEN,ORD,940,1318,21.0,2025-01-26,888.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
DEN,LAS,750,856,-4.0,2025-01-26,628.0,0.0,0.0,26,1,7,Denver,-10.5,0.0,100.0,5.1
DEN,ORD,1120,1455,21.0,2025-01-26,888.0,20.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
DEN,DSM,1325,1611,6.0,2025-01-26,589.0,0.0,0.0,26,1,13,Denver,-8.5,0.0,100.0,3.4
IAH,MSP,2019,2315,124.0,2025-01-26,1034.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
DEN,HDN,1132,1234,1.0,2025-01-26,141.0,0.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
IAH,DEN,2000,2146,28.0,2025-01-26,862.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
LAX,BOS,2255,726,123.0,2025-01-26,2611.0,87.0,0.0,26,1,22,Los Angeles,9.6,0.2,96.0,5.8
LAX,PHX,2130,2358,2.0,2025-01-26,370.0,0.0,0.0,26,1,21,Los Angeles,9.4,3.7,80.0,8.8
EWR,LAX,1445,1758,17.0,2025-01-26,2454.0,0.0,0.0,26,1,14,New York,3.9,0.0,100.0,13.6
EWR,CLT,1858,2105,4.0,2025-01-26,529.0,0.0,0.0,26,1,18,New York,0.5,0.0,78.0,6.8
EWR,DEN,930,1147,13.0,2025-01-26,1605.0,0.0,0.0,26,1,9,New York,-1.7,0.0,85.0,11.7
EWR,SJU,800,1256,59.0,2025-01-26,1608.0,0.0,0.0,26,1,8,New York,-1.7,0.0,100.0,13.9
BOS,IAD,1928,2114,25.0,2025-01-26,413.0,18.0,0.0,26,1,19,Boston,-0.6,0.0,0.0,18.0
ORD,TVC,2020,2235,41.0,2025-01-26,224.0,0.0,0.0,26,1,20,Chicago,-3.7,0.0,48.0,9.0
ORD,EWR,1416,1731,2.0,2025-01-26,719.0,0.0,0.0,26,1,14,Chicago,-4.0,0.0,99.0,7.0
IAH,LAX,2159,2359,-2.0,2025-01-26,1379.0,0.0,0.0,26,1,21,Houston,17.4,1.4,100.0,3.2
DEN,MEM,1105,1425,23.0,2025-01-26,872.0,0.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
IAH,CVG,2003,2330,129.0,2025-01-26,871.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
DEN,TPA,941,1511,12.0,2025-01-26,1506.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
IAH,TUS,2020,2215,75.0,2025-01-26,936.0,27.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
EWR,FLL,815,1134,130.0,2025-01-26,1065.0,103.0,0.0,26,1,8,New York,-1.7,0.0,100.0,13.9
EWR,IAD,1504,1620,38.0,2025-01-26,212.0,0.0,0.0,26,1,15,New York,4.0,0.0,94.0,12.9
ORD,RIC,1820,2129,76.0,2025-01-26,642.0,0.0,0.0,26,1,18,Chicago,-1.9,0.0,33.0,9.5
IAH,CLT,1843,2215,105.0,2025-01-26,912.0,89.0,0.0,26,1,18,Houston,18.9,4.8,100.0,4.4
IAH,LAX,1448,1648,44.0,2025-01-26,1379.0,27.0,0.0,26,1,14,Houston,20.1,0.8,100.0,9.1
IAH,MCI,2024,2230,32.0,2025-01-26,643.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
EWR,SAN,908,1220,-5.0,2025-01-26,2425.0,0.0,0.0,26,1,9,New York,-1.7,0.0,85.0,11.7
IAH,DSM,2007,2230,12.0,2025-01-26,802.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
EWR,DFW,1529,1842,-5.0,2025-01-26,1372.0,0.0,0.0,26,1,15,New York,4.0,0.0,94.0,12.9
IAH,MEM,2020,2159,36.0,2025-01-26,468.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
EWR,LAX,1835,2136,-5.0,2025-01-26,2454.0,0.0,0.0,26,1,18,New York,0.5,0.0,78.0,6.8
ORD,FLL,1050,1504,100.0,2025-01-26,1182.0,75.0,0.0,26,1,10,Chicago,-8.3,0.0,100.0,10.9
DEN,DCA,940,1459,23.0,2025-01-26,1476.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
LGA,IAH,1225,1540,-1.0,2025-01-26,1416.0,0.0,0.0,26,1,12,New York,3.1,0.0,96.0,12.9
DEN,IAH,745,1115,18.0,2025-01-26,862.0,0.0,0.0,26,1,7,Denver,-10.5,0.0,100.0,5.1
IAH,EWR,1620,2058,134.0,2025-01-26,1400.0,94.0,0.0,26,1,16,Houston,19.9,4.6,100.0,2.9
ORD,PHX,1110,1415,46.0,2025-01-26,1440.0,34.0,0.0,26,1,11,Chicago,-7.8,0.0,100.0,10.8
DEN,LAX,800,939,-2.0,2025-01-26,862.0,0.0,0.0,26,1,8,Denver,-10.4,0.0,100.0,1.8
SAN,IAH,1213,1725,5.0,2025-01-26,1303.0,0.0,0.0,26,1,12,San Diego,11.5,0.0,60.0,8.3
IAH,SFO,940,1205,138.0,2025-01-26,1635.0,92.0,0.0,26,1,9,Houston,15.2,0.2,91.0,10.4
LAX,SFO,2235,9,332.0,2025-01-26,337.0,0.0,0.0,26,1,22,Los Angeles,9.6,0.2,96.0,5.8
ORD,LAX,855,1125,317.0,2025-01-26,1744.0,280.0,0.0,26,1,8,Chicago,-8.2,0.0,100.0,12.1
ORD,BWI,1750,2048,37.0,2025-01-26,622.0,3.0,0.0,26,1,17,Chicago,-1.5,0.0,100.0,8.8
ORD,IAH,1750,2050,11.0,2025-01-26,925.0,0.0,0.0,26,1,17,Chicago,-1.5,0.0,100.0,8.8
DEN,DFW,1800,2106,98.0,2025-01-26,641.0,42.0,0.0,26,1,18,Denver,-5.6,0.0,47.0,2.8
IAH,ONT,2015,2157,7.0,2025-01-26,1334.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
LAX,LAS,2242,2359,43.0,2025-01-26,236.0,0.0,0.0,26,1,22,Los Angeles,9.6,0.2,96.0,5.8
DEN,MSY,1736,2117,25.0,2025-01-26,1062.0,0.0,0.0,26,1,17,Denver,-6.1,0.1,88.0,2.7
DEN,ORD,1555,1931,0.0,2025-01-26,888.0,0.0,0.0,26,1,15,Denver,-7.6,0.0,99.0,7.4
ORD,DEN,1245,1436,10.0,2025-01-26,888.0,0.0,0.0,26,1,12,Chicago,-6.7,0.0,100.0,9.6
IAH,PSP,935,1114,22.0,2025-01-26,1269.0,0.0,0.0,26,1,9,Houston,15.2,0.2,91.0,10.4
DEN,MSN,1815,2127,54.0,2025-01-26,826.0,41.0,0.0,26,1,18,Denver,-5.6,0.0,47.0,2.8
DEN,MCI,2100,2343,111.0,2025-01-26,533.0,0.0,0.0,26,1,21,Denver,-9.6,0.0,0.0,3.8
DEN,MCO,940,1513,27.0,2025-01-26,1546.0,23.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
EWR,BOS,700,813,65.0,2025-01-26,200.0,0.0,0.0,26,1,7,New York,-1.9,0.0,100.0,14.7
IAH,MSY,1820,1938,35.0,2025-01-26,305.0,0.0,0.0,26,1,18,Houston,18.9,4.8,100.0,4.4
ORD,ROC,1815,2104,44.0,2025-01-26,528.0,27.0,0.0,26,1,18,Chicago,-1.9,0.0,33.0,9.5
IAH,EWR,1332,1810,16.0,2025-01-26,1400.0,0.0,0.0,26,1,13,Houston,18.8,0.5,95.0,14.3
IAH,MAF,2010,2152,46.0,2025-01-26,429.0,0.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
IAH,DFW,1425,1552,27.0,2025-01-26,224.0,0.0,0.0,26,1,14,Houston,20.1,0.8,100.0,9.1
IAH,AUS,1840,1946,17.0,2025-01-26,140.0,7.0,0.0,26,1,18,Houston,18.9,4.8,100.0,4.4
DEN,LAX,1945,2121,-5.0,2025-01-26,862.0,0.0,0.0,26,1,19,Denver,-5.9,0.0,18.0,4.2
MIA,DEN,2055,2336,-16.0,2025-01-26,1709.0,0.0,0.0,26,1,20,Miami,19.6,0.0,99.0,15.5
DEN,BUR,1115,1252,22.0,2025-01-26,850.0,0.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
IAH,DEN,2207,2344,12.0,2025-01-26,862.0,0.0,0.0,26,1,22,Houston,17.5,1.4,100.0,5.4
SEA,IAH,1359,2020,39.0,2025-01-26,1874.0,0.0,0.0,26,1,13,Seattle,-0.0,0.0,3.0,6.0
SEA,EWR,708,1517,-9.0,2025-01-26,2402.0,0.0,0.0,26,1,7,Seattle,-0.0,0.0,0.0,4.7
DEN,SNA,1132,1303,10.0,2025-01-26,846.0,0.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
DEN,PSP,1115,1239,34.0,2025-01-26,776.0,0.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
